Nom	Type	Description	RA	DEC	Mag	GrandeurWidth	GrandeurHeight	Constellation	Catalogue
NGC 7009	Nébuleuse planétaire	Nébuleuse de Saturne – Caldwell 55	21,069688	-11,363416	8	0,011388	0,009722	Le Verseau	NGC
NGC 7293	Nébuleuse planétaire	Nébuleuse de l’Hélice – Caldwell 63	22,494038	-20,8371	7,6	0,4166	0,2233	Le Verseau	NGC
NGC 772	Galaxie	Galaxie de la Crosse de la Fougère	1,988775	19,0075	10,31	0,079166	0,0633	Le Bélier	NGC
NGC 1907	Amas d’étoiles ouvert	Cr 66	5,46806944	35,325	8,2	0,8333	0,8333	Le Cocher	NGC
NGC 1931	Nébuleuse bipolaire	The Fly Nebula – SH2-237	5,52300278	34,233	10,1	0,0667	0,0667	Le Cocher	NGC
NGC 1501	Nébuleuse planétaire	Nébuleuse de l’Oeil du Chameau	4,11649722	60,920667	13	0,0145	0,0145	La Girafe	NGC
NGC 2403	Galaxie	Caldwell 7	7,614278	65,6026	8,9	0,365	0,205	La Girafe	NGC
NGC 2655	Galaxie	Arp 225	8,925389	78,223834	11,08	0,0577	0,046134	La Girafe	NGC
NGC 185	Galaxie	Caldwell 18	0,64970278	48,334834	9,2	0,195	0,1667	Cassiopée	NGC
NGC 281	Région HII	Nébuleuse Pacman – SH2-184	0,873928	53,56175	7,4	0,5834	0,5	Cassiopée	NGC
NGC 457	Amas d’étoiles ouvert	Amas de la Libellule – Caldwell 13	1,326625	58,283417	6,4	0,3334	0,3334	Cassiopée	NGC
NGC 663	Amas d’étoiles ouvert	Amas de la Tondeuse à Gazon – Caldwell 10	1,769294	61,231083	7,1	0,25	0,25	Cassiopée	NGC
NGC 7789	Amas d’étoiles ouvert	Amas de la Rose de Caroline	23,95708611	56,7054	6,7	0,5	0,5	Cassiopée	NGC
NGC 5128	Galaxie	Centaurus A – Caldwell 77	13,42419167	-43,021556	6,84	0,428334	0,3334	Le Centaure	NGC
NGC 5139	Amas d’étoiles globulaire	Amas W Cen – Caldwell 80	13,446311	-47,482278	5,33	0,916667	0,916667	Le Centaure	NGC
NGC 40	Nébuleuse planétaire	Nébuleuse du Noeud-Papillon – Caldwell 2	0,21765	72,518223	10,7	0,0105	0,009667	Céphée	NGC
NGC 6939	Amas d’étoiles ouvert	Amas du Buisson Fantôme	20,52573611	60,66280556	7,8	0,08334	0,08334	Céphée	NGC
NGC 6946	Galaxie	Galaxie du Feu d’Artifice – Caldwell 12	20,5819305555556	60,1544444444444	9,6	0,191667	0,16334	Le Cygne	NGC
NGC 7129	Amas associé à une nébulosité	Nébuleuse du Petit Amas	21,7163888888889	66,1021666666667	11,5	0,0334	0,0334	Céphée	NGC
NGC 246	Nébuleuse planétaire	Nébuleuse du Crâne – Caldwell 56	0,784430555555556	-11,8695	10,9	0,062216667	0,163334	La Baleine	NGC
NGC 936	Galaxie	Starfighter de Dark Vador	2,46041944444444	-1,15469444444444	10,81	0,065334	0,0555334	La Baleine	NGC
NGC 2359	Région HII	Casque de Thor – SH2-298	7,30798611111111	-13,2281666666667	0	0,1667	0,08334	Le Grand Chien	NGC
NGC 4274	Galaxie	PGC 39724	12,3305083333333	29,6181944444444	10,41	0,08678334	0,03905	La Chevelure de Bérénice	NGC
NGC 4414	Galaxie	PGC 40692	12,4406333333333	31,2271666666667	10,12	0,04771667	0,02671667	La Chevelure de Bérénice	NGC
NGC 4494	Galaxie	PGC 41441	12,5231361111111	25,7783333333333	9,74	0,05495	0,0478	La Chevelure de Bérénice	NGC
NGC 4559	Galaxie	Galaxie de la Carpe Koï – Caldwell 36	12,5991555555556	27,96325	10,01	0,178334	0,07334	La Chevelure de Bérénice	NGC
NGC 4565	Galaxie	Galaxie de l’Aiguille – Caldwell 38	12,6055805555556	25,9907777777778	12,43	0,265	0,0308334	La Chevelure de Bérénice	NGC
NGC 4725	Galaxie	PGC 43451	13,555	25,5041666666667	12,44	0,1288334	0,067	La Chevelure de Bérénice	NGC
NGC 4361	Nébuleuse planétaire	Nébuleuse de l’Arroseur de Gazon	12,4083388888889	-18,7848888888889	10,9	0,0225	0,0225	Le Corbeau	NGC
NGC 4111	Galaxie	PGC 48440	12,1172361111111	43,0694166666667	10,74	0,03611667	0,008667	Les Chiens de Chasse	NGC
NGC 4228	Galaxie	PGC 39225	12,260625	36,3306944444444	10,3	0,08011667	0,0512667	Les Chiens de Chasse	NGC
NGC 4244	Galaxie	Silver Needle Galaxy – Caldwell 26	12,2913138888889	37,811	10	0,276667	0,0316667	Les Chiens de Chasse	NGC
NGC 4449	Galaxie	The Box Galaxy – Caldwell 21	12,4694916666667	44,0978055555556	9,4	0,103334	0,073334	Les Chiens de Chasse	NGC
NGC 4490	Galaxie	Galaxie du Cocon	12,5098527777778	41,6478055555556	9,79	0,088716667	0,03815	Les Chiens de Chasse	NGC
NGC 4631	Galaxie	Galaxie de la Baleine – Caldwell 32	12,7020222222222	32,5453055555556	9,19	0,154216667	0,04626667	Les Chiens de Chasse	NGC
NGC 4656	Galaxie	Galaxie de la Canne de Hockey	12,7324805555556	32,1740833333333	10,52	0,027616667	0,01435	Les Chiens de Chasse	NGC
NGC 5005	Galaxie	Caldwell 29	13,1821472222222	37,0631666666667	13,67	0,06516667	0,02736667	Les Chiens de Chasse	NGC
NGC 5033	Galaxie	Waterbug Galaxy	13,2241472222222	36,5978611111111	12,03	0,06305	0,02836667	Les Chiens de Chasse	NGC
NGC 6819	Amas d’étoiles ouvert	Amas de la Tête de Renard	19,6887944444444	40,1889444444444	7,3	0,1	0,1	Le Cygne	NGC
NGC 6826	Nébuleuse planétaire	Blinking Planetary Nebula – Caldwell 15	19,7472638888889	50,5269444444444	8,8	0,0075	0,006667	Le Cygne	NGC
NGC 6960	Rémanent de supernova	Nébuleuse du Voile Ouest – Caldwell 34	20,760975	30,7094444444444	7	3,5	2,6667	Le Cygne	NGC
NGC 6992	Rémanent de supernova	Nébuleuse du Voile Est – Caldwell 33	20,939025	31,744	7	3,83334	2,6667	Le Cygne	NGC
NGC 7000	Région HII	Nébuleuse de l’Amérique du Nord – Caldwell 20	20,9802388888889	44,3306944444444	4	2	1,6667	Le Cygne	NGC
NGC 7027	Nébuleuse planétaire	Jewel Bug Nebula	21,1175944444444	42,2367777777778	8,5	0	0	Le Cygne	NGC
NGC 6503	Galaxie	Galaxie perdue dans l’espace	17,824825	70,1482222222222	10,9	0,07895	0,02526667	Le Dragon	NGC
NGC 6543	Nébuleuse planétaire	Nébuleuse de l’Oeil de Chat – Caldwell 6	17,9766555555556	66,6369444444445	8,1	0,0055	0,008283334	Le Dragon	NGC
NGC 1232	Galaxie	Galaxie de l’Oeil de Dieu	3,16258888888889	-20,5760277777778	9,87	0,08955	0,07523334	L’Eridan	NGC
NGC 1535	Nébuleuse planétaire	Nébuleuse de l’Oeil de Cléopâtre	4,23756666666667	-12,7368333333333	9,6	0,0156667	0,014416667	L’Eridan	NGC
NGC 2158	Amas d’étoiles ouvert	Cr 81	6,12328611111111	24,097	8,6	0,06667	0,06667	Les Gémeaux	NGC
NGC 2392	Nébuleuse planétaire	Nébuleuse Eskimo – Caldwell 39	7,48595555555556	20,9126111111111	9,61	0,013334	0,01245	Les Gémeaux	NGC
NGC 6207	Galaxie	PGC 58827	16,7179444444444	36,8363611111111	11,65	0,04183334	0,01673334	Hercule	NGC
NGC 6210	Nébuleuse planétaire	Turtle Nebule	16,7417361111111	23,8031111111111	9,65	0,007116667	0,006116667	Hercule	NGC
NGC 3242	Nébuleuse planétaire	Nébuleuse du Fantôme de Jupiter – Caldwell 59	10,4124694444444	-18,6417777777778	8,6	0,007	0,0103334	L’Hydre	NGC
NGC 7209	Amas d’étoiles ouvert	Amas de l’Etoile du Lézard	22,0857527777778	46,4825277777778	7,7	0,3334	0,3334	Le Lézard	NGC
