Nom	Type	Description	RA	DEC	Mag	GrandeurWidth	GrandeurHeight	Constellation	Catalogue
NGC 4631	Galaxie	Galaxie de la Baleine – Caldwell 32	12,7020222222222	32,5453055555556	9,19	0,154216667	0,04626667	Les Chiens de Chasse	NGC
NGC 4656	Galaxie	Galaxie de la Canne de Hockey	12,7324805555556	32,1740833333333	10,52	0,027616667	0,01435	Les Chiens de Chasse	NGC
NGC 5005	Galaxie	Caldwell 29	13,1821472222222	37,0631666666667	13,67	0,06516667	0,02736667	Les Chiens de Chasse	NGC
NGC 5033	Galaxie	Waterbug Galaxy	13,2241472222222	36,5978611111111	12,03	0,06305	0,02836667	Les Chiens de Chasse	NGC
NGC 6819	Amas d’étoiles ouvert	Amas de la Tête de Renard	19,6887944444444	40,1889444444444	7,3	0,1	0,1	Le Cygne	NGC
NGC 6826	Nébuleuse planétaire	Blinking Planetary Nebula – Caldwell 15	19,7472638888889	50,5269444444444	8,8	0,0075	0,006667	Le Cygne	NGC
NGC 6960	Rémanent de supernova	Nébuleuse du Voile Ouest – Caldwell 34	20,760975	30,7094444444444	7	3,5	2,6667	Le Cygne	NGC
NGC 6992	Rémanent de supernova	Nébuleuse du Voile Est – Caldwell 33	20,939025	31,744	7	3,83334	2,6667	Le Cygne	NGC
NGC 7000	Région HII	Nébuleuse de l’Amérique du Nord – Caldwell 20	20,9802388888889	44,3306944444444	4	2	1,6667	Le Cygne	NGC
NGC 7027	Nébuleuse planétaire	Jewel Bug Nebula	21,1175944444444	42,2367777777778	8,5	0	0	Le Cygne	NGC
NGC 6503	Galaxie	Galaxie perdue dans l’espace	17,824825	70,1482222222222	10,9	0,07895	0,02526667	Le Dragon	NGC
NGC 6543	Nébuleuse planétaire	Nébuleuse de l’Oeil de Chat – Caldwell 6	17,9766555555556	66,6369444444445	8,1	0,0055	0,008283334	Le Dragon	NGC
NGC 1232	Galaxie	Galaxie de l’Oeil de Dieu	3,16258888888889	-20,5760277777778	9,87	0,08955	0,07523334	L’Eridan	NGC
NGC 1535	Nébuleuse planétaire	Nébuleuse de l’Oeil de Cléopâtre	4,23756666666667	-12,7368333333333	9,6	0,0156667	0,014416667	L’Eridan	NGC
NGC 2158	Amas d’étoiles ouvert	Cr 81	6,12328611111111	24,097	8,6	0,06667	0,06667	Les Gémeaux	NGC
NGC 2392	Nébuleuse planétaire	Nébuleuse Eskimo – Caldwell 39	7,48595555555556	20,9126111111111	9,61	0,013334	0,01245	Les Gémeaux	NGC
NGC 6207	Galaxie	PGC 58827	16,7179444444444	36,8363611111111	11,65	0,04183334	0,01673334	Hercule	NGC
NGC 6210	Nébuleuse planétaire	Turtle Nebule	16,7417361111111	23,8031111111111	9,65	0,007116667	0,006116667	Hercule	NGC
NGC 3242	Nébuleuse planétaire	Nébuleuse du Fantôme de Jupiter – Caldwell 59	10,4124694444444	-18,6417777777778	8,6	0,007	0,0103334	L’Hydre	NGC
NGC 7209	Amas d’étoiles ouvert	Amas de l’Etoile du Lézard	22,0857527777778	46,4825277777778	7,7	0,3334	0,3334	Le Lézard	NGC
NGC 7243	Amas d’étoiles ouvert	Caldwell 16	22,2527083333333	49,8972222222222	6,4	0,5	0,5	Le Lézard	NGC
NGC 2903	Galaxie	PGC 27077	9,53576666666667	21,5026944444444	9,01	0,1016667	0,0549	Le Lion	NGC
NGC 3384	Galaxie	PGC 32292	10,8043861111111	12,6313888888889	10	0,063616667	0,03245	Le Lion	NGC
NGC 3521	Galaxie	Bubble Galaxy	11,0965444444444	-0,0344166666666667	9,02	0,10661111	0,0487	Le Lion	NGC
NGC 3607	Quasar	PGC 34426	11,2815611111111	18,0543055555556	12,76	0,04416667	0,0393	Le Lion	NGC
NGC 3628	Galaxie	Galaxie du Hamburger	11,3377805555556	13,59175	9,48	0,176283334	0,0423	Le Lion	NGC
NGC 3344	Galaxie	Galaxie de l’Onion coupé	10,7249833333333	24,92475	9,86	0,07605	0,07453334	Le Petit Lion	NGC
NGC 3432	Galaxie	Galaxie de l’Aiguille à Tricoter	10,8749416666667	36,6217777777778	11,67	0,10455	0,020916667	Le Petit Lion	NGC
NGC 2683	Galaxie	Galaxie OVNI	8,87772222222222	33,42325	9,7	0,089716667	0,035883334	Le Lynx	NGC
NGC 2237	Amas d’étoiles ouvert	Nébuleuse de la Rosette – Caldwell 50	6,531625	4,94322222222222	4,8	0,4	0,4	La Licorne	NGC
NGC 2244	Amas d’étoiles ouvert	Nébuleuse de la Rosette – Caldwell 50	6,531625	4,94322222222222	4,8	0,4	0,4	La Licorne	NGC
NGC 2261	Nébuleuse par réflexion	Nébuleuse variable de Hubble – Caldwell 46	6,65244722222222	8,73708333333333	9	0,03334	0,016667	La Licorne	NGC
NGC 6369	Nébuleuse planétaire	Nébuleuse du petit Fantôme	17,4892833333333	-23,7599166666667	11,4	0,007783334	0,007783334	Ophiuchus	NGC
NGC 6572	Nébuleuse planétaire	Nébuleuse de la Racquetball bleue	18,2020611111111	6,85547222222222	8,1	0,00555	0,004116667	Ophiuchus	NGC
NGC 6633	Amas d’étoiles ouvert	Tweedledum Cluster	18,458975	6,571805556	4,6	0,3334	0,3334	Ophiuchus	NGC
NGC 1788	Nébuleuse par réflexion	Nébuleuse de la Chauve-souris Cosmique	5,11478055555556	-3,34027777777778	10,11	0,03334	0,03334	Orion	NGC
NGC 1977	Nébuleuse bipolaire	Nébuleuse du Coureur	5,58441388888889	-4,73005555555556	0	0	0	Orion	NGC
NGC 2024	Amas associé à une nébulosité	Nébuleuse de la Flamme	5,69500833333333	-1,84038888888889	0	2	2	Orion	NGC
NGC 2022	Nébuleuse planétaire	Nébuleuse des Croissants qui s’embrassent	5,70145833333333	9,08705555555556	11,6	0,005383334	0,005383334	Orion	NGC
NGC 2194	Amas d’étoiles ouvert	Cr 87	6,22916666666667	12,81875	8,5	0,083334	0,083334	Orion	NGC
NGC 7331	Galaxie	Groupe Deer Lick – Caldwell 30	22,6181861111111	34,4156111111111	9,48	0,175	0,0616667	Pégase	NGC
